,id,header,offeredSince,availabilty,status,statusNew,price,postCode1,postCode2,neighbourhood,areaM2,rooms,interior,energy,agent,link,scrapDate
0,01b69b03,Apartment Minervaplein,"
2 months
","
From 31-10-2022
",Highlighted,"
For rent
",2850.0,1077,TR,Apollobuurt,111,3,Furnished,B,City Housing Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/01b69b03/minervaplein,2022-10-25 22:18:52
1,49a87bb7,Apartment Grote Bickersstraat 23 H,"
4 weeks
","
From 01-11-2022
",Highlighted,"
For rent
",2000.0,1013,KN,Haarlemmerbuurt,62,2,Furnished,C,ViaDaan,https://www.pararius.com/apartment-for-rent/amsterdam/49a87bb7/grote-bickersstraat,2022-10-25 22:18:52
2,42d3eaeb,Apartment Oostenburgermiddenstraat 20,"
25-10-2022
","
From 01-11-2022
",New,"
For rent
",2150.0,1018,LC,Oostelijke Eilanden/Kadijken,86,3,Upholstered,A,Amsterdam Wonen,https://www.pararius.com/apartment-for-rent/amsterdam/42d3eaeb/oostenburgermiddenstraat,2022-10-25 22:18:52
3,608e0578,Apartment Hoofddorpplein,"
25-10-2022
","
Immediately
",New,"
For rent
",2250.0,1059,CV,Hoofddorppleinbuurt,55,2,Furnished,C,Expat Rentals Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/608e0578/hoofddorpplein,2022-10-25 22:18:52
4,27291451,Apartment Ruysdaelkade,"
25-10-2022
","
Immediately
",New,"
For rent
",1975.0,1072,AG,Oude Pijp,72,2,Upholstered,C,Inxxx Rentals,https://www.pararius.com/apartment-for-rent/amsterdam/27291451/ruysdaelkade,2022-10-25 22:18:52
5,63c9571d,Apartment Keizersgracht,"
25-10-2022
","
From 29-11-2022
",New,"
For rent
",3500.0,1015,CR,Grachtengordel-West,140,3,Furnished,Not Available,People On The Move Expat Brokers,https://www.pararius.com/apartment-for-rent/amsterdam/63c9571d/keizersgracht,2022-10-25 22:18:52
6,900d0cd9,Apartment John Blankensteinstraat,"
25-10-2022
","
Immediately
",New,"
For rent
",2750.0,1095,MB,Zeeburgereiland/Nieuwe Diep,145,5,Upholstered,A++,Expats. Amsterdam Rentals,https://www.pararius.com/apartment-for-rent/amsterdam/900d0cd9/john-blankensteinstraat,2022-10-25 22:18:52
7,4532d6e3,Apartment Groen van Prinstererstraat,"
25-10-2022
","
From 01-01-2023
",New,"
For rent
",1950.0,1051,EN,Staatsliedenbuurt,80,3,Furnished,B,Overbruggingsverhuur.nl,https://www.pararius.com/apartment-for-rent/amsterdam/4532d6e3/groen-van-prinstererstraat,2022-10-25 22:18:52
8,dd162131,Apartment Tweede Kostverlorenkade 121 hs,"
25-10-2022
","
Immediately
",New,"
For rent
",2400.0,1053,SC,Kinkerbuurt,85,4,Upholstered,Not Available,Van Huis Uit Makelaars,https://www.pararius.com/apartment-for-rent/amsterdam/dd162131/tweede-kostverlorenkade,2022-10-25 22:18:52
9,88294364,Apartment Frederiksplein 24 B,"
25-10-2022
","
From 01-12-2022
",New,"
For rent
",2000.0,1017,XM,De Weteringschans,55,2,Upholstered or furnished,A,Listings,https://www.pararius.com/apartment-for-rent/amsterdam/88294364/frederiksplein,2022-10-25 22:18:52
10,400f4fc7,Apartment Hembrugstraat,"
25-10-2022
","
From 27-10-2022
",New,"
For rent
",1795.0,1013,XG,Spaarndammer- en Zeeheldenbuurt,55,3,Furnished,Not Available,Interhouse verhuurmakelaars Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/400f4fc7/hembrugstraat,2022-10-25 22:18:52
11,215991ea,Apartment Keizersgracht 138 B,"
25-10-2022
","
From 01-11-2022
",New,"
For rent
",2450.0,1015,CW,Grachtengordel-West,75,2,Furnished,C,Prinsen Residence International,https://www.pararius.com/apartment-for-rent/amsterdam/215991ea/keizersgracht,2022-10-25 22:18:52
12,f1fec0e8,Apartment Kerkstraat,"
25-10-2022
","
From 01-12-2022
",New,"
For rent
",4500.0,1017,HW,Grachtengordel-Zuid,120,3,Furnished,A,Expats. Amsterdam Rentals,https://www.pararius.com/apartment-for-rent/amsterdam/f1fec0e8/kerkstraat,2022-10-25 22:18:52
13,a6656a11,Apartment Van Ostadestraat,"
25-10-2022
","
From 08-11-2022
",New,"
For rent
",2650.0,1072,SZ,Nieuwe Pijp,75,3,Furnished,Not Available,Out Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/a6656a11/van-ostadestraat,2022-10-25 22:18:52
14,d2f5ed44,Apartment Eksterstraat,"
25-10-2022
","
In consultation
",New,"
For rent
",1850.0,1021,EA,IJplein/Vogelbuurt,90,4,Furnished,E,RE/MAX Pro,https://www.pararius.com/apartment-for-rent/amsterdam/d2f5ed44/eksterstraat,2022-10-25 22:18:52
15,3c161b84,House Zwanebloemlaan,"
25-10-2022
","
Immediately
",New,"
For rent
",2150.0,1087,EP,IJburg West,90,4,Furnished,A,Relocation-Amsterdam,https://www.pararius.com/house-for-rent/amsterdam/3c161b84/zwanebloemlaan,2022-10-25 22:18:52
16,f1737806,Apartment Rapenburgerstraat 167 B,"
25-10-2022
","
In consultation
",New,"
For rent
",1950.0,1011,VM,Nieuwmarkt/Lastage,72,3,Furnished,Not Available,Amsterdam Housing,https://www.pararius.com/apartment-for-rent/amsterdam/f1737806/rapenburgerstraat,2022-10-25 22:18:52
17,57a1fc03,Apartment Botterstraat,"
25-10-2022
","
From 01-01-2023
",New,"
For rent
",2100.0,1034,BT,Banne Buiksloot,76,4,Upholstered,C,Verhoef Vastgoed,https://www.pararius.com/apartment-for-rent/amsterdam/57a1fc03/botterstraat,2022-10-25 22:18:52
18,3f1158b6,House Scheepsbouwweg,"
25-10-2022
","
From 01-11-2022
",New,"
For rent
",2700.0,1033,DC,Tuindorp Oostzaan,90,4,Upholstered,A+,Verhoef Vastgoed,https://www.pararius.com/house-for-rent/amsterdam/3f1158b6/scheepsbouwweg,2022-10-25 22:18:52
19,c5cc5fb3,Apartment Smederij,"
25-10-2022
","
From 01-11-2022
",New,"
For rent
",1685.0,1021,NE,IJplein/Vogelbuurt,47,2,Furnished,Not Available,123Wonen Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/c5cc5fb3/smederij,2022-10-25 22:18:52
20,645a4284,Apartment Galileïplantsoen,"
25-10-2022
","
From 15-12-2022
",New,"
For rent
",3250.0,1098,NC,Middenmeer,140,4,Upholstered,Not Available,Hammer Realty,https://www.pararius.com/apartment-for-rent/amsterdam/645a4284/galileiplantsoen,2022-10-25 22:18:52
21,5c19e1b7,Apartment Kranenburg,"
25-10-2022
","
Immediately
",New,"
For rent
",1850.0,1083,JM,Buitenveldert-Oost,82,3,Upholstered or furnished,Not Available,Rotsvast Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/5c19e1b7/kranenburg,2022-10-25 22:18:52
22,663a4018,Apartment Titiaanstraat,"
25-10-2022
","
Immediately
",New,"
For rent
",2750.0,1077,RG,Apollobuurt,130,4,Upholstered,Not Available,Relocation Advisers B.V.,https://www.pararius.com/apartment-for-rent/amsterdam/663a4018/titiaanstraat,2022-10-25 22:18:52
23,03cb4709,Apartment Prinsengracht 485 C + PP,"
25-10-2022
","
From 01-12-2022
",New,"
For rent
",3250.0,1016,HP,Grachtengordel-West,117,4,Furnished,Not Available,Peter Bruin Makelaardij,https://www.pararius.com/apartment-for-rent/amsterdam/03cb4709/prinsengracht,2022-10-25 22:18:52
24,e76d016b,Apartment Herenmarkt 6 1,"
25-10-2022
","
Immediately
",New,"
For rent
",1750.0,1013,ED,Haarlemmerbuurt,45,2,Furnished,G,27 Huis Makelaars,https://www.pararius.com/apartment-for-rent/amsterdam/e76d016b/herenmarkt,2022-10-25 22:18:52
25,c47b00b3,Apartment Rosy Wertheimstraat 23,"
25-10-2022
","
Immediately
",New,"
For rent
",3250.0,1082,MZ,Zuidas,81,3,Furnished,A,Vastgoed Verhuurmakelaardij,https://www.pararius.com/apartment-for-rent/amsterdam/c47b00b3/rosy-wertheimstraat,2022-10-25 22:18:52
26,d26590d5,Apartment Osdorpplein,"
25-10-2022
","
In consultation
",New,"
For rent
",1850.0,1068,TB,Osdorp-Oost,74,3,NA,A++,123makelaar,https://www.pararius.com/apartment-for-rent/amsterdam/d26590d5/osdorpplein,2022-10-25 22:18:52
27,d114edf1,Apartment Rupelmonde,"
25-10-2022
","
In consultation
",New,"
For rent
",1550.0,1081,GS,Buitenveldert-West,38,2,Furnished,C,Kapitaal Kompas B.V.,https://www.pararius.com/apartment-for-rent/amsterdam/d114edf1/rupelmonde,2022-10-25 22:18:52
28,fbb4a99c,Apartment Keizersgracht,"
25-10-2022
","
From 01-12-2022
",New,"
For rent
",2850.0,1016,DR,Grachtengordel-West,130,2,Furnished,Not Available,Grand Apartments Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/fbb4a99c/keizersgracht,2022-10-25 22:18:52
29,e41e028c,Apartment Nassaukade,"
25-10-2022
","
Immediately
",New,"
For rent
",2400.0,1053,LZ,Van Lennepbuurt,67,3,Furnished,C,Vastgoed & Co.,https://www.pararius.com/apartment-for-rent/amsterdam/e41e028c/nassaukade,2022-10-25 22:18:52
30,99aad593,Apartment Van Noordtkade,"
25-10-2022
","
From 06-11-2022
",New,"
For rent
",1475.0,1013,CA,Spaarndammer- en Zeeheldenbuurt,50,2,Furnished,B,Klok Real Estate,https://www.pararius.com/apartment-for-rent/amsterdam/99aad593/van-noordtkade,2022-10-25 22:18:52
31,68b56b6c,Apartment Winthontstraat,"
25-10-2022
","
From 01-12-2022
",New,"
For rent
",2700.0,1013,BR,Haarlemmerbuurt,70,3,Furnished,Not Available,Compass Housing Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/68b56b6c/winthontstraat,2022-10-25 22:18:52
2,38a17e26,Studio Bos en Lommerplantsoen 17 F,"
25-10-2022
","
From 15-11-2022
",New,"
For rent
",1400.0,1055,AA,De Kolenkit,32,1,Furnished,A,ViaDaan,https://www.pararius.com/studio-for-rent/amsterdam/38a17e26/bos-en-lommerplantsoen,2022-10-25 22:18:52
3,feb6624d,Apartment Amstelkade 168 3,"
25-10-2022
","
From 01-12-2022
",New,"
For rent
",3500.0,1078,AZ,Scheldebuurt,102,4,Furnished,E,The Rental Agency Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/feb6624d/amstelkade,2022-10-25 22:18:52
4,8f973eb0,Apartment Valkenisseweg,"
25-10-2022
","
From 02-01-2023
",New,"
For rent
",1950.0,1069,BX,Osdorp-Midden,88,3,Furnished,B,HB Housing,https://www.pararius.com/apartment-for-rent/amsterdam/8f973eb0/valkenisseweg,2022-10-25 22:18:52
5,57a53a75,Apartment Willem de Zwijgerlaan 353 2,"
25-10-2022
","
From 01-11-2022
",New,"
For rent
",1650.0,1055,RB,Landlust,50,2,Upholstered,C,+31 Vastgoed,https://www.pararius.com/apartment-for-rent/amsterdam/57a53a75/willem-de-zwijgerlaan,2022-10-25 22:18:52
6,1a7628dc,Apartment Amstel 45 1,"
25-10-2022
","
Immediately
",New,"
For rent
",1100.0,1011,PW,Nieuwmarkt/Lastage,45,2,Shell,B,ViaDaan,https://www.pararius.com/apartment-for-rent/amsterdam/1a7628dc/amstel,2022-10-25 22:18:52
7,5280bfdb,Apartment Leerdamhof 173,"
25-10-2022
","
Immediately
",New,"
For rent
",1650.0,1108,BP,Nellestein,85,3,Upholstered,C,KK Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/5280bfdb/leerdamhof,2022-10-25 22:18:52
8,718eed3d,House Keizersgracht 786,"
25-10-2022
","
Immediately
",New,"
For rent
",10500.0,1017,EC,Grachtengordel-Zuid,450,12,Upholstered,Not Available,Broersma Makelaardij,https://www.pararius.com/house-for-rent/amsterdam/718eed3d/keizersgracht,2022-10-25 22:18:52
9,1442ba28,Apartment Valeriusstraat 245 2,"
25-10-2022
","
Immediately
",New,"
For rent
",2500.0,1075,GB,Willemspark,64,3,Furnished,E,Peter Bruin Makelaardij,https://www.pararius.com/apartment-for-rent/amsterdam/1442ba28/valeriusstraat,2022-10-25 22:18:52
10,35209060,Apartment Aalsmeerweg 81 4,"
25-10-2022
","
In consultation
",New,"
For rent
",1650.0,1059,AE,Hoofddorppleinbuurt,50,2,Upholstered or furnished,E,IB Makelaars,https://www.pararius.com/apartment-for-rent/amsterdam/35209060/aalsmeerweg,2022-10-25 22:18:52
11,a37bd22b,Apartment Sint Willibrordusstraat 10,"
25-10-2022
","
From 02-01-2023
",New,"
For rent
",2500.0,1074,XL,Nieuwe Pijp,118,3,Furnished,Not Available,Cosmo Housing,https://www.pararius.com/apartment-for-rent/amsterdam/a37bd22b/sint-willibrordusstraat,2022-10-25 22:18:52
12,9abb26ea,Apartment Osdorpplein,"
25-10-2022
","
In consultation
",New,"
For rent
",1800.0,1068,TB,Osdorp-Oost,89,3,NA,A,123makelaar,https://www.pararius.com/apartment-for-rent/amsterdam/9abb26ea/osdorpplein,2022-10-25 22:18:52
13,82c0e88b,Apartment Keizersgracht,"
24-10-2022
","
From 01-11-2022
",New,"
For rent
",2500.0,1015,CT,Grachtengordel-West,65,2,Furnished,Not Available,Leon Real Estate,https://www.pararius.com/apartment-for-rent/amsterdam/82c0e88b/keizersgracht,2022-10-25 22:18:52
14,770af728,Apartment Rustenburgerstraat,"
24-10-2022
","
From 01-12-2022
",New,"
For rent
",2295.0,1072,HA,Nieuwe Pijp,63,3,Furnished,C,HouseHunting Randstad,https://www.pararius.com/apartment-for-rent/amsterdam/770af728/rustenburgerstraat,2022-10-25 22:18:52
15,93a4da3e,Apartment Reestraat,"
24-10-2022
","
From 01-11-2022
",NA,"
For rent
",1500.0,1016,DM,Grachtengordel-West,41,2,Upholstered,Not Available,Keizerskroon makelaars,https://www.pararius.com/apartment-for-rent/amsterdam/93a4da3e/reestraat,2022-10-25 22:18:52
16,e96223ed,Apartment Peter Schatstraat,"
24-10-2022
","
In consultation
",NA,"
For rent
",6750.0,1082,MX,Zuidas,158,4,NA,A,Brummel & Beuk Makelaars,https://www.pararius.com/apartment-for-rent/amsterdam/e96223ed/peter-schatstraat,2022-10-25 22:18:52
17,5c870476,Apartment Zocherstraat 14 3,"
24-10-2022
","
Immediately
",NA,"
For rent
",5000.0,1054,LX,Overtoomse Sluis,120,4,NA,Not Available,DSTRCT Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/5c870476/zocherstraat,2022-10-25 22:18:52
18,33889a42,Apartment Amstelveenseweg 194 III,"
24-10-2022
","
In consultation
",NA,"
For rent
",1950.0,1075,XR,Schinkelbuurt,73,3,NA,C,Aemestelle Makelaars Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/33889a42/amstelveenseweg,2022-10-25 22:18:52
19,976c97be,Apartment Javastraat,"
24-10-2022
","
From 01-11-2022
",Rented under option,"
Rented under option
",1700.0,1094,HJ,Indische Buurt West,45,3,Upholstered,C,Kroon Vastgoedbeheer,https://www.pararius.com/apartment-for-rent/amsterdam/976c97be/javastraat,2022-10-25 22:18:52
20,f8b6290e,Apartment Nida Senffstraat,"
24-10-2022
","
From 01-12-2022
",NA,"
For rent
",1800.0,1095,MX,Zeeburgereiland/Nieuwe Diep,70,3,Upholstered,A,Housing Experts,https://www.pararius.com/apartment-for-rent/amsterdam/f8b6290e/nida-senffstraat,2022-10-25 22:18:52
21,c9f6d72f,Apartment Woestduinstraat,"
24-10-2022
","
From 01-11-2022
",NA,"
For rent
",2250.0,1058,TG,Hoofddorppleinbuurt,75,3,Upholstered,Not Available,Relocation Advisers B.V.,https://www.pararius.com/apartment-for-rent/amsterdam/c9f6d72f/woestduinstraat,2022-10-25 22:18:52
22,9923d052,Apartment Kleiburg,"
24-10-2022
","
In consultation
",NA,"
For rent
",1600.0,1104,EA,Bijlmer Oost ,68,2,Furnished,E,The Real Estate Agency,https://www.pararius.com/apartment-for-rent/amsterdam/9923d052/kleiburg,2022-10-25 22:18:52
23,1c97db3b,Apartment Paramaribostraat 132 2,"
24-10-2022
","
From 01-01-2023
",NA,"
For rent
",3300.0,1058,VP,Westindische Buurt,133,5,Upholstered,C,Huizenbalie.nl,https://www.pararius.com/apartment-for-rent/amsterdam/1c97db3b/paramaribostraat,2022-10-25 22:18:52
24,f4070b55,Apartment Piet Gijzenbrugstraat 30 2,"
24-10-2022
","
From 01-11-2022
",NA,"
For rent
",2300.0,1059,XJ,Hoofddorppleinbuurt,80,3,Upholstered,E,Koops Makelaardij Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/f4070b55/piet-gijzenbrugstraat,2022-10-25 22:18:52
25,0fc4ea06,Apartment Cornelis Trooststraat 53 hs,"
24-10-2022
","
Immediately
",NA,"
For rent
",1800.0,1072,JC,Nieuwe Pijp,60,2,Upholstered,D,JLG Real Estate,https://www.pararius.com/apartment-for-rent/amsterdam/0fc4ea06/cornelis-trooststraat,2022-10-25 22:18:52
26,81ef28b1,Apartment Plantage Doklaan,"
24-10-2022
","
Immediately
",NA,"
For rent
",1800.0,1018,CN,Weesperbuurt/Plantage,46,2,Upholstered,A,BIC Makelaardij,https://www.pararius.com/apartment-for-rent/amsterdam/81ef28b1/plantage-doklaan,2022-10-25 22:18:52
27,56ac6782,Apartment Joris Ivensplein 20,"
24-10-2022
","
From 01-11-2022
",NA,"
For rent
",1800.0,1087,BP,IJburg West,114,3,Upholstered,A,LIV Residential,https://www.pararius.com/apartment-for-rent/amsterdam/56ac6782/joris-ivensplein,2022-10-25 22:18:52
28,74b31c50,Apartment J.J. Cremerplein,"
24-10-2022
","
Immediately
",NA,"
For rent
",3150.0,1054,TL,Overtoomse Sluis,96,3,Furnished,B,Hendriks Housing,https://www.pararius.com/apartment-for-rent/amsterdam/74b31c50/j-j-cremerplein,2022-10-25 22:18:52
29,ce153416,Apartment Faas Wilkesstraat,"
24-10-2022
","
In consultation
",NA,"
For rent
",2450.0,1095,MD,Zeeburgereiland/Nieuwe Diep,105,3,Upholstered,Not Available,Hendriks Housing,https://www.pararius.com/apartment-for-rent/amsterdam/ce153416/faas-wilkesstraat,2022-10-25 22:18:52
30,d3f49e8e,Apartment Keizersgracht,"
24-10-2022
","
Immediately
",NA,"
For rent
",2750.0,1015,CW,Grachtengordel-West,80,2,Furnished,Not Available,Grand Apartments Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/d3f49e8e/keizersgracht,2022-10-25 22:18:52
31,d18e5a0b,Apartment Wittgensteinlaan,"
24-10-2022
","
Immediately
",NA,"
For rent
",2000.0,1062,KA,Westlandgracht,95,3,Furnished,B,HB Housing,https://www.pararius.com/apartment-for-rent/amsterdam/d18e5a0b/wittgensteinlaan,2022-10-25 22:18:52
2,706c927c,Apartment Burgemeester Hogguerstraat,"
24-10-2022
","
From 23-12-2022
",NA,"
For rent
",1450.0,1064,CW,Slotermeer-Zuidwest,50,2,Furnished,D,HB Housing,https://www.pararius.com/apartment-for-rent/amsterdam/706c927c/burgemeester-hogguerstraat,2022-10-25 22:18:52
3,9d646ae9,Apartment Bloemgracht,"
24-10-2022
","
Immediately
",NA,"
For rent
",1700.0,1016,KD,Jordaan,63,2,Upholstered,Not Available,Keizerskroon makelaars,https://www.pararius.com/apartment-for-rent/amsterdam/9d646ae9/bloemgracht,2022-10-25 22:18:52
4,5e44c9ce,Apartment Egelantiersgracht 446,"
24-10-2022
","
Immediately
",NA,"
For rent
",2500.0,1015,RR,Jordaan,103,3,Upholstered,C,Amstelland Makelaars,https://www.pararius.com/apartment-for-rent/amsterdam/5e44c9ce/egelantiersgracht,2022-10-25 22:18:52
5,6b91ce0f,Apartment Paulus Potterstraat 24 2,"
24-10-2022
","
In consultation
",NA,"
For rent
",11000.0,1071,DA,Museumkwartier,242,4,Upholstered,C,Broersma Makelaardij,https://www.pararius.com/apartment-for-rent/amsterdam/6b91ce0f/paulus-potterstraat,2022-10-25 22:18:52
6,58ee345e,Apartment Haarlemmermeerstraat,"
24-10-2022
","
In consultation
",NA,"
For rent
",2250.0,1058,JP,Hoofddorppleinbuurt,75,3,Furnished,Not Available,AHA (Another Home Abroad),https://www.pararius.com/apartment-for-rent/amsterdam/58ee345e/haarlemmermeerstraat,2022-10-25 22:18:52
7,d8c44428,Apartment Dostojevskisingel 221,"
24-10-2022
","
From 01-11-2022
",NA,"
For rent
",1450.0,1102,XM,Bijlmer Centrum ,43,2,NA,C,Raysemhousing.nl,https://www.pararius.com/apartment-for-rent/amsterdam/d8c44428/dostojevskisingel,2022-10-25 22:18:52
8,68a60035,Apartment Fokke Simonszstraat,"
23-10-2022
","
Immediately
",NA,"
For rent
",1550.0,1017,TG,De Weteringschans,32,1,Upholstered,Not Available,Hausing,https://www.pararius.com/apartment-for-rent/amsterdam/68a60035/fokke-simonszstraat,2022-10-25 22:18:52
9,aadb108f,Apartment Amstel,"
23-10-2022
","
From 01-11-2022
",NA,"
For rent
",2975.0,1017,AC,Grachtengordel-Zuid,144,4,Furnished,Not Available,Hausing,https://www.pararius.com/apartment-for-rent/amsterdam/aadb108f/amstel,2022-10-25 22:18:52
10,5ad0cfef,Apartment Jan den Haenstraat 42,"
23-10-2022
","
From 02-01-2023
",NA,"
For rent
",2500.0,1055,WH,Landlust,120,4,NA,A,Residential Real Estate,https://www.pararius.com/apartment-for-rent/amsterdam/5ad0cfef/jan-den-haenstraat,2022-10-25 22:18:52
11,911bf4b0,Apartment Alexanderkade,"
23-10-2022
","
From 01-11-2022
",NA,"
For rent
",1900.0,1018,CH,Weesperbuurt/Plantage,90,3,Upholstered,Not Available,Housing Experts,https://www.pararius.com/apartment-for-rent/amsterdam/911bf4b0/alexanderkade,2022-10-25 22:18:52
12,38c5d65c,Apartment Johan Hofmanstraat,"
23-10-2022
","
In consultation
",NA,"
For rent
",2350.0,1069,KD,Osdorp-Midden,97,3,Furnished,Not Available,Elizabeth Real Estate & More,https://www.pararius.com/apartment-for-rent/amsterdam/38c5d65c/johan-hofmanstraat,2022-10-25 22:18:52
13,76845cde,Apartment Admiraal De Ruijterweg,"
22-10-2022
","
From 01-11-2022
",NA,"
For rent
",2095.0,1056,GN,Geuzenbuurt,74,4,Upholstered,Not Available,123Wonen Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/76845cde/admiraal-de-ruijterweg,2022-10-25 22:18:52
14,f0c8e86f,Apartment Lange Leidsedwarsstraat,"
22-10-2022
","
From 01-12-2022
",NA,"
For rent
",2700.0,1017,NR,De Weteringschans,100,3,Furnished,C,Zen Home Rentals,https://www.pararius.com/apartment-for-rent/amsterdam/f0c8e86f/lange-leidsedwarsstraat,2022-10-25 22:18:52
15,d8115ba5,Apartment Czaar Peterstraat 156 huis,"
22-10-2022
","
Immediately
",Rented under option,"
Rented under option
",1650.0,1018,PW,Oostelijke Eilanden/Kadijken,37,2,Upholstered,C,Voogd Makelaardij,https://www.pararius.com/apartment-for-rent/amsterdam/d8115ba5/czaar-peterstraat,2022-10-25 22:18:52
16,4e478d20,Apartment Nieuwe Prinsengracht,"
22-10-2022
","
In consultation
",NA,"
For rent
",2300.0,1018,VV,Weesperbuurt/Plantage,63,2,NA,Not Available,Peters & Partners,https://www.pararius.com/apartment-for-rent/amsterdam/4e478d20/nieuwe-prinsengracht,2022-10-25 22:18:52
17,c293e96f,Apartment Haarlemmerweg 49 2,"
21-10-2022
","
Immediately
",NA,"
For rent
",1800.0,1051,KP,Staatsliedenbuurt,54,2,Furnished,C,Incity Real Estate,https://www.pararius.com/apartment-for-rent/amsterdam/c293e96f/haarlemmerweg,2022-10-25 22:18:52
18,bd59639e,House Keizersgracht,"
21-10-2022
","
From 01-12-2022
",NA,"
For rent
",1750.0,1016,DR,Grachtengordel-West,65,2,Furnished,D,City Homes,https://www.pararius.com/house-for-rent/amsterdam/bd59639e/keizersgracht,2022-10-25 22:18:52
19,3671880c,House Laplacestraat,"
21-10-2022
","
In consultation
",NA,"
For rent
",3250.0,1098,HX,Middenmeer,125,5,Furnished,C,Relocation-Amsterdam,https://www.pararius.com/house-for-rent/amsterdam/3671880c/laplacestraat,2022-10-25 22:18:52
20,7d78ba27,Apartment Jacob van Lennepkade,"
21-10-2022
","
Immediately
",NA,"
For rent
",1850.0,1054,ZN,Overtoomse Sluis,47,3,Upholstered,D,The Dutch Realty,https://www.pararius.com/apartment-for-rent/amsterdam/7d78ba27/jacob-van-lennepkade,2022-10-25 22:18:52
21,af5ece04,Apartment Grootzeilhof,"
21-10-2022
","
From 15-12-2022
",NA,"
For rent
",2200.0,1034,MC,Banne Buiksloot,80,3,Furnished,B,Expat Rental Services BV,https://www.pararius.com/apartment-for-rent/amsterdam/af5ece04/grootzeilhof,2022-10-25 22:18:52
22,371c26c0,Apartment Albert Cuypstraat 49 1,"
21-10-2022
","
From 07-11-2022
",NA,"
For rent
",2650.0,1072,CL,Oude Pijp,95,3,Furnished,G,Oei Housing Amsterdam - Expat Apartments,https://www.pararius.com/apartment-for-rent/amsterdam/371c26c0/albert-cuypstraat,2022-10-25 22:18:52
23,dc8837c6,Apartment Eerste Looiersdwarsstraat,"
21-10-2022
","
From 01-11-2022
",NA,"
For rent
",2500.0,1016,VL,Jordaan,65,2,Furnished,C,Housing Experts,https://www.pararius.com/apartment-for-rent/amsterdam/dc8837c6/eerste-looiersdwarsstraat,2022-10-25 22:18:52
24,a2dd8702,House Edammerstraat 54,"
21-10-2022
","
In consultation
",NA,"
For rent
",1700.0,1023,VC,Tuindorp Nieuwendam,64,4,Furnished,C,Amsterdam Wonen,https://www.pararius.com/house-for-rent/amsterdam/a2dd8702/edammerstraat,2022-10-25 22:18:52
25,8fca53db,Apartment Eerste Jan van der Heijdenstraat 116 H,"
21-10-2022
","
From 01-01-2023
",NA,"
For rent
",4000.0,1072,VB,Oude Pijp,83,3,Furnished,B,ViaDaan,https://www.pararius.com/apartment-for-rent/amsterdam/8fca53db/eerste-jan-van-der-heijdenstraat,2022-10-25 22:18:52
26,8ffff0c4,Apartment Nicolaas Maesstraat 65 II,"
21-10-2022
","
From 01-12-2022
",NA,"
For rent
",2250.0,1071,PR,Museumkwartier,62,3,Upholstered,Not Available,Dutch Housing Centre BV,https://www.pararius.com/apartment-for-rent/amsterdam/8ffff0c4/nicolaas-maesstraat,2022-10-25 22:18:52
27,dab38845,Apartment Sanderijnstraat,"
21-10-2022
","
Immediately
",NA,"
For rent
",1895.0,1055,BM,Erasmuspark,65,3,Upholstered,B,A Plus Apartments,https://www.pararius.com/apartment-for-rent/amsterdam/dab38845/sanderijnstraat,2022-10-25 22:18:52
28,d0a12740,Apartment Banstraat 25 B* PP,"
21-10-2022
","
In consultation
",NA,"
For rent
",11000.0,1071,JW,Museumkwartier,194,4,NA,A,Ter Haar Makelaars B.V.,https://www.pararius.com/apartment-for-rent/amsterdam/d0a12740/banstraat,2022-10-25 22:18:52
29,d388c17d,Apartment Balistraat 48 II,"
21-10-2022
","
From 01-11-2022
",NA,"
For rent
",1750.0,1094,JN,Indische Buurt West,50,2,Upholstered,D,HousingNet,https://www.pararius.com/apartment-for-rent/amsterdam/d388c17d/balistraat,2022-10-25 22:18:52
30,150ee52c,Apartment Van Baerlestraat,"
21-10-2022
","
From 01-11-2022
",NA,"
For rent
",2350.0,1071,BB,Museumkwartier,55,3,Upholstered or furnished,B,Keij & Stefels Makelaars en Taxateurs,https://www.pararius.com/apartment-for-rent/amsterdam/150ee52c/van-baerlestraat,2022-10-25 22:18:52
31,2268e74a,Apartment Geuzenstraat,"
21-10-2022
","
Immediately
",NA,"
For rent
",1775.0,1056,JZ,Geuzenbuurt,65,3,Furnished,Not Available,CITYHOP Real Estate,https://www.pararius.com/apartment-for-rent/amsterdam/2268e74a/geuzenstraat,2022-10-25 22:18:52
